,Artist,Lyrics,Song
986,Redlight King,"[""Many times I've walked the line"", ""I've rolled the dice and questioned my life"", ""I've been down this road before"", 'Where the dead ends are', ""I'm gonna dig six feet up tonight"", ""I know how it feels\nWhen I haven't got a friend\nEven when they're standin' beside me"", ""Risk it all, I'm gonna risk it all\nI'm gonna break my back and risk it all"", ""I'm gonna pick my spot\nTake my shot"", ""The light's on, the last round\nThe dark horse keeps on fightin'""]",Comeback
987,Seether,[],Here And Now
988,Halestorm,"['Ohhh, I miss the misery!', ""I miss the bad things\nThe way you hate me\nI miss the screaming\nThe way that you blame me!\nMiss the phone calls\nWhen it's your fault\nI miss the late nights\nDon't miss you at all!\nI like the kick in the face\nAnd the things you do to me!\nI love the way that it hurts!\nI don't miss you, I miss the misery!"", ""Can't take too much of a good thing"", ""(I'd rather fight all night than watch the TV)""]",I Miss The Misery
989,Ellie Goulding,"['I had a heart then\nBut the queen has been overthrown', ""And I'm not sleeping now\nThe dark is too hard to beat"", ""You show the lights that stop me turn to stone\nYou shine it when I'm alone\nAnd so I tell myself that I'll be strong\nAnd dreaming when they're gone\nCause they're calling, calling, calling me home\nCalling, calling, calling home\nYou show the lights that stop me turn to stone\nYou shine it when I'm alone"", ""Noises, I play within my head\nTouch my own skin\nAnd hope that I'm still breathing\nAnd I think back to when\nMy brother and my sister slept\nIn an unlocked place\nThe only time I feel safe"", ""You show the lights that stop me turn to stone\nYou shine it when I'm alone\nAnd so I tell myself that I'll be strong\nAnd dreaming when they're gone\nCause they're calling, calling, calling me home\nCalling, calling, calling home\nYou show the lights that stop me turn to stone\nYou shine it when I'm alone"", 'Home, home\nHome, home', ""You show the lights that stop me turn to stone\nYou shine it when I'm alone\nAnd so I tell myself that I'll be strong\nAnd dreaming when they're gone\nCause they're calling, calling, calling me home\nCalling, calling, calling home\nYou show the lights that stop me turn to stone\nYou shine it when I'm alone"", 'Home, home\nHome, home']",Lights
990,Otherwise,"[""With our final breath, we'll fight to the death"", ""Tonight we're fighting for our lives"", ""With our final breath, we'll fight to the death"", ""You can't erase us, you'll just have to face us!"", ""You can't erase us, you'll just have to face us!"", ""With our final breath, we'll fight to the death"", 'We are not sheep!']",Soldiers
991,The Smashing Pumpkins,"['But I will be special k', 'Everything I want is free', 'But I will be special k']",The Celestials
992,Papa Roach,[],Still Swinging
993,Saving Abel,[],Bringing Down The Giant
994,John Mayer,"['Goodbye cold, goodbye rain\nGoodbye sorrow, and goodbye shame', ""I'm headed out west with my headphones on\nBoarded a flight with a song in the back of my soul\nAnd no one knows"", 'I just found out her ghost left town\nThe queen of California is stepping down, down', 'Looking for the Sun that Neil Young hung\nAfter the Gold Rush of 1971', 'I just found out her ghost left town\nThe queen of California is stepping down, down', '[Electric country blues guitar bridge]', 'If you see her, say hello', 'Joni wrote ""Blue"" in her house by the sea', 'I just found out her ghost left town\nThe queen of California is stepping down, down']",Queen Of California
995,Aranda,[],Satisfied
996,Slash Featuring Myles Kennedy & The Conspirators,[],Standing In The Sun
997,Brandi Carlile,"[""And you'll hide from your God like he ever turns his back on us"", 'And you will fall all the way to the bottom and land on your own knife']",That Wasn't Me
998,Slightly Stoopid,[],Top Of The World
999,Morning Parade,[],Headlights
1000,Black Stone Cherry,[],Like I Roll
1001,Grouplove,"[""I'm itching on a photograph"", ""Yeah I'm scratching on a thermostat"", ""Feel the rain come down and you know now\nPut the fire out, you'll burn"", 'Ever wonder how you can see now\nThat this landing ground is so\nYou know, you know, you know', ""Yeah I'm waiting on my mum and dad\nYeah I'm swinging on a branch that'll last\nYeah I'm going up then falling back\nYeah I'm itching on a photograph"", 'Ever wonder how you can see now\nThat this landing ground is so\nYou know, you know, you know']",Itchin' On A Photograph
1002,Two Door Cinema Club,"[""Know my only goal is to see\nWhen I'm only fast asleep"", 'It takes more than strength to find\nThis piece of mind', ""So I'll hold, hold, hold\nHold it close to my heart beating"", 'Chorus', ""He sleeps alone\nHe needs no army where he's headed cause he knows\nThat they're just ghosts\nAnd they can't hurt him if he can't see them, ohh"", 'And I may go\nTo places I have never been to just to find\nThe deepest desires in my mind', 'We, we only know what we see', ""Oh, hold hold hold\nHold me close\nI've never been this far from home\nHold hold hold me close"", 'Chorus', ""He sleeps alone\nHe needs no army where he's headed cause he knows\nThat they're just ghosts\nAnd they can't hurt him if he can't see them, ohh"", 'And I may go\nTo places I have never been to just to find\nThe deepest desires in my mind', ""It's in my head and I have said\nThat I must be like him now\nHe sleeps alone, he sleeps alone\nAnd one last chance to make sense\nOf what is long escaped ours\nHe sleeps alone, I sleep alone"", ""He sleeps alone\nHe needs no army where he's headed cause he knows\nThat they're just ghosts"", ""And they can't hurt him if he can't see them, ohh\nAnd I don't know\nIf in the morning I will be here and it's old\nBut if he'd known\nThat I was worthy, I was worthy\nI was worthy, I was""]",Sleep Alone
1003,In This Moment,[],Blood
1004,M83.,"['You came out of nowhere\nStealing my heart and brain\nFlaming my every cell\nYou make me feel myself', 'Oh, oh, oh, oh, oh, ohohoh...\nOh, oh, oh, oh, oh, ohohoh...\nWill you stay in this land forever?\nWill you stay in this land forever?', ""Across the time and space\nA never-ending dance\nA blooming and a trance\nYou make me feel my soul\nThere's no more loneliness\nOnly sparkles and sweat"", ""There's no more single fate\nYou make me feel myself"", 'Oh, oh, oh, oh, oh, ohohoh...\nOh, oh, oh, oh, oh, ohohoh...\nWill you stay in this land forever?\nWill you stay in this land forever?', 'My body is like a lightning rod\nCapsize me and douse me in your bay\nA shiver of want, always', 'When you are on the tip of my tongue\nIn the back of your parked car', ""I could build a fort\nAnd play all day\nBetween your lips, and mine\nLet's stay here forever"", 'Oh, oh, oh, oh, oh, ohohoh...\nOh, oh, oh, oh, oh, ohohoh...\nWill you stay in this land forever?\nWill you stay in this land forever?']",Reunion
1005,10 Years,[],Backlash
1006,The Wallflowers Featuring Mick Jones,"['Welcome Jack, the new drummer\nHe jammed with the mighty Joe Strummer']",Reboot The Mission
1007,The Avett Brothers,[],Live And Die
1008,Mumford & Sons,"['You were cold\nAs the blood through your bones\nAnd the light which led us from our chosen homes', 'Well I was lost', ""And now I sleep\nSleep the hours that I can't weep"", 'When all I knew was steeped in blackened holes\nI was lost', 'Keep the earth below my feet', 'For all my sweat, my blood runs weak', 'Let me learn from where I have been', 'Keep my eyes to serve and hands to learn\nKeep my eyes to serve and hands to learn', 'When I was told by Jesus all was well\nFor all must be well', 'You know your desires and mine\nWrap my flesh in ivory and in twine', 'Keep the earth below my feet', 'For all my sweat, my blood runs weak', 'Let me learn from where I have been', 'Keep my eyes to serve and hands to learn\nKeep my eyes to serve and hands to learn', 'Keep the earth below my feet', 'For all my sweat, my blood runs weak', 'Let me learn from where I have been', 'Keep my eyes to serve and hands to learn\nKeep my eyes to serve and hands to learn']",Below My Feet
1009,Mumford & Sons,"[""Don't let me darken your door\nThat's not what I came here for\nNo it's not what I came here for"", ""And I won't hear you cry when I'm gone"", ""I won't know if I'm doing you wrong\nI never know if I'm doing you wrong"", 'A constant reminder of where I can find her', ""Light that might give up the way\nIt's all that I'm asking for without her I'm lost"", ""But my love don't' fade away"", 'So watch the world tear us apart\nA stoic mind and bleeding heart', 'You never see my bleeding heart', 'And your lights always shining on\nAnd I been traveling oh so long\nI been traveling oh so long', ""Oh my love don't fade away""]",Reminder
1010,Mumford & Sons,"['Touch my mouth and hold my tongue\nI’ll never be your chosen one\nI’ll be home, safe and tucked away\nYou can’t tempt me if I don’t see the day', 'The pull on my flesh was just too strong\nStifles the choice and the air in my lungs', 'Better not to breathe than to breathe a lie\nCause when I open my body I breathe a lie', 'I will not speak of your sin\nThere was a way out for him', 'The mirror shows not\nYour values are all shot', 'And oh, my heart was flawed I knew my weakness\nSo hold my hand, consign me not to darkness', 'So crawl on my belly ‘til the sun goes down\nI’ll never wear your broken crown', 'I took the road and I fucked it all away', 'Now in this twilight, how dare you speak of grace', 'fuck', 'I can take the road and I can fuck it all away\nBut in this twilight, our choices seal our fate']",Broken Crown
1011,Mumford & Sons,"[""Your eyes they tie\nMe down so hard\nI'll never learn to put up a guard"", ""This ain't no sham\nI am what I am"", 'Though I may speak\nSome tongue of old\nOr even spit out some holy word', ""I have no strength\nFrom which to speak\nWhen you sit me down, and see I'm weak"", ""We will run and scream\nYou will dance with me\nThey'll fulfill our dreams\nAnd we'll be free\nAnd we will be who we are\nAnd they'll heal our scars\nSadness will be far away"", ""So as we walked\nOf fields of green\nAs the fairest sun I'd ever seen"", 'And I was broke\nI was on my knees\nBut you said yes as I said please', ""And they'll heal our scars\nSadness will be far away"", ""Do not let my fickle flesh go to waste\nAs it keeps my heart and soul in it's place"", 'And I will love with urgency but not with haste']",Not With Haste
1012,Mumford & Sons,"['We came to the end it seems you had heard', 'As we walked the city streets you never said a word', 'When we finally sat down your eyes were full of spite\nI was desperate, I was weak, I could not put up a fight', 'But where are you now?\nWhere are you now?', 'Do you ever think of me\nIn the quiet, in the crowd?', 'You were strangely less in pain than you were cold\nTriumphant in your mind of the logic that you hold', ""You said no one would ever know the love that we had shared\nAs I took my leave to go it was clear you didn't care"", 'And I hear of your coming and your going in the town', 'I hear stories of your smile, I hear stories of your frown', 'And the darkness can descend we can relish all the pain', ""But I know that's what you love cause you know I love the same""]",Where Are You Now
